name	Operation time	dish	url																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
A Voce Madison	A Voce now offers a $28 prix fixe menu for lunch only.||Lunch: Monday - Friday 11:30am-2:30pm||Dinner: Monday - Thursday  5:00pm-10:00pm||Friday-Saturday: 5:00 pm-10:30pm||Sunday: closed 	"{'Prix-fixe Menu': {'Secondi': 'Cavatelli,merluzzo,Pollo', 'Lunch': '', 'Antipasti': 'Rucola,Zuppa,Capesante', 'Dolci': 'Ricotta Mousse'}, 'Dinner Menu': {'Secondi': 'Caciucco*,Merluzzo*,Cernia*,Maiale*,Agnello,Pollo,Bistecca*', 'Antipasti': 'Passera crudo ""alla carbonara""*,Zuppa,Uovo*,Tartara di Manzo*,Polipo,Barbabietole,Fegato', 'Primi': 'Scialatielli*,Cacio e Pepe,Cappellacci,Busiate,Orecchiette,Ravioli del plin,Branzino for Two*,Anatra for Two*', 'Contorni': 'Polenta,Spaghetti Squash,Rapini'}, 'Lunch Menu': {'Secondi': 'Caciucco*,Merluzzo*,Cernia*,Pollo,Bistecca*,Maiale*', 'Antipasti': 'Insalata,Zuppa,Passera crudo ""alla carbonara""*,Tartare di Manzo*,Barbabietole,Polipo', 'Primi': 'Busiate,Cacio e Pepe,Cappellacci,Scialatielli*,Orecchiette', 'Contorni': 'Polenta,Spaghetti Squash,Rapini'}}"	https://www.opentable.com/a-voce-madison?p=2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
Al di Là			https://www.opentable.com/s/?covers=2&metroId=8&term=Al%20di%20L%C3%A0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
Ai Fiori			https://www.opentable.com/s/?covers=2&metroId=8&term=Ai%20Fiori																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
Aburiya Kinnosuke		{}	https://www.opentable.com/r/aburiya-kinnosuke-new-york?p=2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
Achilles Heel		{}	https://www.opentable.com/r/achilles-heel-brooklyn?p=2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
Aldo Sohm Wine Bar			https://www.opentable.com/s/?covers=2&metroId=8&term=Aldo%20Sohm%20Wine%20Bar																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
Allswell			https://www.opentable.com/s/?covers=2&metroId=8&term=Allswell																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
Agern	Breakfast: Monday - Friday: 7:00am - 10:00am||Lunch: Monday - Friday: 11:30am - 2:30pm ||Dinner: Monday - Saturday: 5:30pm - 10:00pm ||                Sunday: 5:30pm - 9:00pm	{}	https://www.opentable.com/r/agern-new-york?p=2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
Amaranto			https://www.opentable.com/s/?covers=2&metroId=8&term=Amaranto																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
21 Club	"Lunch: 12:00-2:30pm Monday-Friday ||          ||Dinner: 5:30-10:00pm Monday-Friday, 5:30pm-11:00pm Saturday||Upstairs at '21': Dinner: 5:30-10:00pm Friday and Saturday ||DRESS CODE: No jeans or sneakers. Jackets are necessary for gentlemen. Kindly note that shorts and flip-flops are not permitted."	"{'Prix Fixe Menu': {'Desserts': 'Chocolate Lava Cake,Pineapple Upside-Down Cake,Rice Pudding', 'Main Courses': 'Faroe Island Salmon,Red Wine Braised Short Ribs,Lemon Chicken,Mushroom Cavatelli', 'Appetizers': 'Soup du Jour,The Wedge,Chopped Salad,Deviled Eggs'}, 'Dinner Menu': {'Chilled Seafood': ""Oysters and Clams,Jumbo Shrimp Cocktail,Tuna Tartare,Clayton's Jumbo Lump Crabmeat,Pressed Octopus,Shellfish Tower"", 'Main Courses': 'Vegetarian Tasting,Hokaido Sea Scallops,Parmesan Crusted Halibut,Dover Sole*,Rohan Duck,Creamy Chicken Hash*,Rabbit Saddle,Lamb Bolognese,21 Burger*,Speakeasy Steak Tartare*', 'Desserts': 'FOR TWO: Drunken Chocolate Cake,Banana Foster,Baked Alaska,New York Cheesecake,Apple Pie,Crème Brûlée Tasting,Profiteroles,Grand Marnier Soufflé,Chocolate Soufflé', 'Side Orders': 'Creamed Spinach,Grilled Asparagus,Cremini Mushrooms,Cheddar Grits,Heirloom Rice,Olive Oil Whipped Potato,French Fries,Pommes Soufflées,Truffle Macaroni and Cheese', 'Caviar': 'Siberian Caviar,Kaluga Caviar,Imperial Osetra Caviar', 'Off the Grill': 'Center Cut Filet Mignon,Prime Dry-Aged Ribeye Steak,Prime Dry-Aged Porterhouse (for two)', 'Appetizers': ""Soup du Jour,'21' Caesar Salad*,Foie Gras Terrine,Housemade Smoked Salmon,Lobster en Paupiette,Burgundy Escargot,Raviolo,Crab Cake*""}}"	https://www.opentable.com/r/21-club-new-york?p=2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
Angkor			https://www.opentable.com/s/?covers=2&metroId=8&term=Angkor																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
Arharn Thai			https://www.opentable.com/s/?covers=2&metroId=8&term=Arharn%20Thai																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
Almayass	"Lunch||Daily 12:00 pm–3:00 pm||Dinner||Mon–Wed, Sun 5:30 pm–10:30 pm||Thu–Sat 5:30 pm–11:00 pm"	"{'Menu': {'Cold Appetizers': 'Moutabbal,Moutabbal Almayass,Labneh,Sarma,Dolma,Mouhammara,Kebbe Naye Almayass,Lentil Kofta,Bottarga', 'Mixed Grill': 'Filet Mignon Cubed,Chicken Taouk,Kafta,Baby Lamb Chops', 'Salads and Soups': ""Tabbouleh,Armenian Salad,Fattoush,Chef's Salad,Lentil Soup,Chicken Soup"", 'Featured Items': 'Bone-In Ribeye,Alaskan Sablefish', 'Lunch Special': '', ""Chef's Selection"": 'Fattoush,Tabbouleh,Hummus,Moutabbal,Sarma,Mouhammara,Lentil Kafta,Falafel,Cheese Bereg,Kebbe Naye,Kebbe Kras,Mantee Traditional', 'Select One': 'Bronzini,Kafta,Chicken Taouk,Mantee Traditional', 'Armenian Tasting': 'Armenian Salad,Lentil Kafta,Dolma,Subereg,Basterma or Soujuk Almayass,Mantee Traditional (Meat or Spinach)', 'Side Dishes': 'Basmati Rice,Garlic Whip,Fresh Vegetables,Tzatziki Yogurt,Yogurt Sauce,Fried Cauliflower,Pomegranate Molasses,Red Pepper Paste', 'Hummus Varieties': 'Hummus,Hummus Almayass,Hummus with Pine Nuts,Hummus with Meat,Hummus Beef with Pine Nuts,Hummus with Lamb,Hummus with Cauliflower', 'Hot Appetizers': ""Sautéed Halloum,Hot Feta,Spicy Potatoes,Basterma or Soujuk Almayass (5 Pcs.),Cheese Bereg (2 Pcs.),Subereg,Falafel,Soujuk Flambé,Mantee Traditional (Meat or Spinach),Kebbe Sajieh,Kebbe Kras (2 Pcs.),Frog Legs Provençal,Chicken Wings Provençal,Chicken Liver,Beef Shawarma,Chicken Shawarma,Almayass Delight,Chef's Special"", 'Entree': 'Bronzini,Chicken Taouk,Kafta,Armenian Kafta,Filet Mignon Cubed,Sweet and Sour,Lamb Loin Cubed,Lamb Chops,Stuffed Lamb Leg,Jingle Bell Peppers', 'Select Two': 'Lentil Soup,Chicken Soup,Armenian Salad,Tabbouleh,Fattoush,Hummus,Moutabbal,Labneh,Sarma,Lentil Kafta'}, 'Desserts': {'Dessert': 'Maamoul Almayass,Knafeh bil Jibneh,Ashta el Saraya,Ashta with Assal,Ossmalieh Almayass,Atayif,Baklava,Chocolate Lava Cake'}, 'Wine Menu': {'Wines From the World': '2011 Domaine du Castel Blanc du Castel, Judean Hills, Israel Chardonnay,2016 Allan Scott, Marlborough, New Zealand, Sauvignon Blanc', 'United States': '2013 Hess, Napa Valley, California, Cabernet Sauvignon (375ml),2012 Opus One, Napa Valley, California, Bordeaux Blend,2013 Moobuzz, Monterey County, California, Pinot Noir', 'Champagne & Sparkling Wine': 'Karas, ""Extra Brut,"" Ararat Valey, Armenia,Sanguefreddo, Valdobbiadene Conegliano, Prosecco Superiore Extra Dry, DOCG,Moët & Chandon, ""Brut Reserve,"" Epernay, Champagne, France,Veuve Clicquot, ""Brut,"" Reims, Champagne, France,2004 Veuve Clicquot Ponsardin, ""Vintage Rosé,"" Champagne, France,Ruinart, ""Blanc de Blancs,"" Champagne, France,2004 Dom. Perignon, ""Brut,"" Champagne, France,2000 Krug, Champagne, France', 'Rose Wine': '2015 Château Ksara, ""Sunset,"" Lebanon, Syrah, Cabernet Franc,2015 Anna\'s Secret, Tuscany, Italy, Sangiovese,2016 Château Kefraya, ""Les Breteches,"" Lebanon, Syrah, Tempranillo, Grenache Noir, Cinsaut', 'Armenia': '2015 Karas, Ararat Valley, Red Blend,2014 Karas, Classic Red (Reserve), Ararat Valley, Red Blend,2014 Yacoubian-Hobbs Areni, Vayots Dzor, Areni Noir,2014 Yacoubian-Hobbs Sarpina, Vayots Dzor, Areni Noir', 'Red Wine': '', 'Lebanon': '1967 Château Musar, Cabernet Sauvignon, Cinsault,1975 Château Musar, Cabernet Sauvignon, Cinsault,1995 Château Musar, Cabernet Sauvignon, Cinsault,2001 Château Musar, Red Blend (375ml),2004 Château Musar, Red Blend,2006 Château Belle-Vue, La Renaissance, Bhamdoun, Cab.S., Merlot,2010 Château Kefraya, ""Comte de M,"" Cabernet Sauvignon, Syrah,2013 Château Ksara, Cabernet Sauvignon, Merlot, Petit Verdot,2013 Château Ksara, Cabernet Sauvignon,2012 Massaya, ""Terrasses de Baalbeck,"" Red Rhone Blend,2010 Massaya, ""Gold Reserve,"" Cabernet Sauvignon, Mourvèdre, Syrah,2008 Chateau Heritage, ""Family Reserve,"" Red Blend,2011 ixsir, ""Grande Reserve,"" Lebanon, Cabernet Sauvignon, Syrah', 'France': ""2009 Château Margaux, Margaux, Haut Medoc, Bordeaux,2015 Domaine Brunet, Pays D'oc, Malbec,2012 Larose de Gruaud, Saint-Julien, Bordeaux,1995 Château Leoville - Poyferré, Saint-Julien, Bordeaux,2009 Château Fayat, Pomerol, Bordeaux,2014 Jean Noel Gagnard, Chassagne-Montrachet, Rouge Morgeot"", 'Italy': '2010 Castello di Montegrosso Monterosso, DOCG Piedmont, Barbera D\'Asti,2010 Luigi Odero, ""Barolo,"" DOCG, Piedmont, Nebbiolo,2006 Castello di Ama, ""Riserva,"" Library Release, Chianti Classico,2012 Fattoria Magliano, ""Poggio Bestial,"" Super Tuscany,2014 Val di Toro, Reviresco, Tuscany, Sangiovese', 'White Wine': '', 'By the Glass': '2015 Château Ksara, ""Reserve du Couvent,"" Cab.S., Syrah, Cabernet Franc,2011 Château Kefraya, Cabernet Sauvignon, Syrah, Carignan,2015 Montinore, Williamette Valley, Oregon, Pinot Noir,2015 Karas, Ararat Valley, Armenia, Red Blend,2015 Catena Zapata ""Catena,"" Mendoza, Argentina, Malbec,2014 Colle Moro, Italy, Montepulciano D\'Abruzzo'}, 'Cocktail Menu': {'Arak': 'Ksarak, Bekaa Valley, Lebanon,El Massaya Arak, Bekaa Valley, Lebanon', 'Beer': '961 Lebanese Pale Ale,961 Lebanese Red Ale,961 Lebanese Lager,961 Lebanese Witbier,961 Lebanese Porter,Brooklyn Lager,Corona,Heineken,Amstel Light', 'Cocktails': 'Twenty4 East,Almayass Margarita,Almayass Mojito,Noor,Berry Passion,Vesper,Manhattan,Old Fashioned,Gold Rush'}}"	https://www.opentable.com/almayass-restaurant-new-york?p=2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
Aldea	DINNER: ||Tuesday-Thursday 5:30-10:00pm||Friday-Saturday 5:30-11:00pm||BAR:||Tuesday-Saturday 5:00pm-Closes two hours after our last seating.	"{'Dessert Menu': {'Dessert': ""Sonhos,Nora Chile Bavarois,Tio Anibal's Rice Pudding,Autumn Pear Tart,Hazelnut Chocolate Mousse,Ice Creams and Sorbets,Our Cheese Plate"", 'Coffee and Tea': 'Serendipitea Tea,Brookling Roasting Co. ""Lupulo Blend"",Nespresso, Leggero Espresso, Macchiato,Cappuccino, Latte', 'Dessert Cocktail': 'Cocktail De Sombremesa'}, 'Wines by the Glass': {'White': 'Txakolina, Gorrondona, Hondarribi Zuri-Hondarribi Beltza 2015,Pares Balta ""Cosmic"" Xarel-Lo-Sauvignon Blanc 2015,Lasso Branco, Ferñao Pires and Arinto, 2014,Niepoort ""Dócil"", Loureiro, Vinho Verde 2016,Esporão, Antão Vaz, Arinto, Roupeiro, Alentejo 2015', 'Coravin Reserve Red Wines': ""Clos Cibonne, Tibouren, Rose, Provence 2014,Ardevol, Coma d'en Romeu, Cabernet Sauvignon, Merlot, Syrah, Garnacha, Carinena, Catalonia 2009"", 'Red': 'Niepoort, ""Vertente"", Touriga National, Jaen 2014,Quinta de Lemos, Jaen, 2009,Lavradore de Feitoria, Tinta Roriz-Touriga Franca- Touriga Nacional, Tinta Barroca, 2014,Morgon, Dominique Piron ""Côte de Py"" Gamay, Cru de Beaujolais,Roija Crianza, Abando', ""Rose'"": 'Folias de Baco ""Uivo"", Pinot Noir, Duriense IGP', 'Sparkling': 'Vilarnau, Cava, Brut Reserva,Sidónio de Sousa, Branco Brut Nature, ""Special Cuvée'}, 'Tasting Menu': {""Chef's Tasting Menu"": 'Petiscos,Oyster and Green Apple Tartare,Mackerel En Escabeche,Shrimp Alhinho,Braised Salmon,Duck Breast,Sao George Cheese,Hazelnut Chocolate Mousse'}, 'Bar Menu': {}, 'Wine List': {""Rose' Wine"": 'Casa de Mouraz, Tinta Roriz, Alfrocheiro, Jaen, Agua Santa, Dao, Portugal, 2016,Quinta do Perdigão, Touriga Nacional-Jaen, Alfrocheiro-Tinta Roriz, Dão Portugal 2014', 'Spain': 'Venus la Universal ""Dido"", Garnacha-Syrah-Cabernet Sauvignon, Montsant, 2015,Pittacum, Mencia, Bierzo, 2011,Bodegas Ponce ""Pino"", Bobal, Manchuela,Priorat, Rene Barbier I Sara Perez ""Partida Pedrer"", Catalunya,Bodega Barranco Oscuro, Vino de Espana, ""El Canto de Mirlo"", Merlot, Andalucia 2012,Artadi ""Pasos de San Martin"" Garnacha, Navarra, 2013,Rioja Reserva, Remelluri 2010,Algueira, Merenzao, Ribeira Sacra, 2014,Bodegas y Vinedos El Seque, Monastrell, Valencia, Alicante, 2010,Rioja Reserva, Lopez de Heredia ""Viña Tondonia"" 2004,Malabrigo, Ribera del Duero, 2010,Pintia, Toro, 2011,Vega Sicilia ""Alion"", Ribera del Duero 2013,Vega Sicilia, ""Valbuena"", Ribera del Duero 2013', 'Sparkling Wine': 'Sidónio de Sousa, Branco Brut Nature, ""Special Cuvée,"",Red, Aphros, Sparkling Grande Reserve Brut \'Yakkos\', Vinhao, Vinho Verde 2006,Red, Aphros \'Super-Reserva Brut\', Vinhao, Vinho Verde NV', 'United States': 'Liquid Farms ""White Hill"", Chardonnay, Sta Rita Hills, California, 2015', 'France': 'Trousseau, Pierre Richard, Cotes de Jura, 2014,Santenay 1er Cru, Roger Belland ""Beauregard"" Burgundy, 2013,Paulliac, Chateau La Fleur, ""Haut Carras"", Bordeaux, 2011,Chateauneuf-du-Pape, Chateau Maucoil ""Privilege"" Rhone Valley 2010,Saint-Emilion Grand Cru, Virgine de Valandraud, Bordeaux 2010,Pommard, Domaine Jean-Michel Gaunoux ""Les Perrieres"" Burgundy, 2008', 'Portugal': 'Filipa Pato, Post Quercus Baga, Beiras ***500ML Bairrada, 2015,Quinta do Popa ""Popa TN"", Touriga Nacional, Douro Valley, 2012,Foz de Arouce, Baga, Beiras 2012,Monte dos Cabacos ""Colheita Seleccionada"", Touriga Nacional-Alicante Bouschet-Aragonez, Alentejo, 2010,Monte da Casteleja, Classico Tinto, Bastardo, Alfrocheiro, Algrave 2013,Quinta do Perdigado, Alfrocheiro, Dao, 2010,Caves Sao Joao, ""Porta dos Cavaleiros"", Alfrocheiro-Jaen-Tinta Roriz-Baga-Preto de Mortagua, Dao, 1985,Quinta de Lemos, Jaen, Dão 2009,Filipa Pata, Beiras Tinto ""Nossa"" 2015,Chocapalha ""Vinha Mae"" Touriga Nacional-Tinta Roriz-Syrah, Lisboa, 2012,Niepoort, ""Redoma"" Tinta Roriz, Touriga Franca, 2013 Douro,Sidonio de Souza ""Figueira da Costa"" Garrafeira, Baga, Old Vines, Bairrada, 2009,Luis Pato, Quinta do Moinho, Baga, Beiras, Bairrada 2001,Julia Kemper ""Curiosity"", Touriga Nacional-Alfro cheiro, Dao, 2012,Joao Portugal Ramos ""Marques de Borba"", Aragonez-Trincadeira-Alicante Bouschet-Cabernet Sauvignon, Alentejo, 2012,Viuva Gomes, Ramisco, Collares, 1999,Prats & Symington, Chryseia, Touriga Nacional- Touriga Franca, Douro 2013,Herdade do Mouchao, ""Tonel N 3-4"", Alicante Bouschet, DOC Alentejo 2011', 'White Wine': '', 'Champagne': 'Moutard ""Grande Cuvee"" Brut, NV La Cote des Bar,Rose, Moutard ""Rose de Cuvaison"" Brut, La Cote des Bar, Aube,Gatinois ""Tradition, Grand Cru Brut. Ay, Valle de la Marne,Rose, R.H. Coutier, Grand Cru, ""Cuvee Rose"", Ambonnay,Pierre Moncuit, ""GC"", Blanc de Blancs, Mesnil-Sur-Oger, Cote de Blancs,Agrapart & Fils, a Avize-Grand Cru ""Terroirs"" Extra Brut, Cote des Blancs,Cedric Bouchard, Val Vilaine ""Roses de Jeanne"" Blanc de Noir, Aube,Tarlant, ""La Vigne d\'Or, Brut Nature, Vallée de La Marne 2003', 'USA/ITALY': 'Walter Hansel ""Cahill Lane"", Pinot Noir, Russian River Valley, California, 2013,Hendry, ""Hendry Vineyard"", Cabernet Sauvignon, Napa Valley, California 2013,O\'Shaughnessy, Cabernet Sauvignon, Howell Mountain, Napa Valley, 2014,Amarone della Valpolicella Classico, Bussola, Veneto 2010,Barbaresco, Castello di Verduno ""Rabaja"" Riserva, Piedmont 2010,Felsina ""Fontalloro"" IGT Tuscany 2011,Brunello di Montalcino, Pian dell\'Orino, Tuscany 2009,Barolo, Roagna, Pira ""Vecchie Viti"" Piedmont 2008'}, 'Cocktails': {'Calvados': 'Calvados Domfrontais, Lemorton ""Selection"",Adrien Camut, 6 years old, Calvados du Pays d\'Auge', 'American': ""Bulleit Bourbon,Woodford Reserve,Knob Creek,Makers Mark,Michter's Bourbon"", 'Amari, Grappa & Liqueurs': '', 'Coffee and Tea': 'Serendipitea Tea,Iced Tea,Brooklyn Roasting Co. ""Lupulo Blend"",Nespresso, Leggero Espresso,Macchiato,Cappuccino,Latte', 'Cachaça': 'Avua Prata, Rio de Janeiro,Avua Amburana, Rio de Janeiro', 'Tequila': 'Partida, Blanco,Herradura, Reposado,Don Julio, Blanco,Don Julio, Reposado,Don Julio, Anejo,Casa Amigos, Blanco,Casa Amigos, Reposado,Casa Amigos, Anejo,Casa Dragones, Joven', 'Pisco': 'Barsol, Peru', 'Juice and Soda': 'Cranberry, Pineapple, Grapefruit,House-made Lemonade,Arnold Palmer,Coke & Diet Coke,Sprite,Q Ginger Beer,Q Tonic,Q Ginger Ale', 'White Port': 'Kopke ""Lagrima"" White Port', 'Bottled Beer': 'Superbock, Portugal, 5.2% ABV 12oz,Greenport Harbor ""Other Side"" American IPA, Peconic, NY, 7.5% Abv, 12oz,Avery Brewing ""Ellie\'s Brown Ale"", Boulder Colorado, 5.5% Abv, 12oz,Ommegang Brewery, Abbey Ale Dubbel, Cooperstown NY, 8.2% Abv, 12oz', 'Whiskey': '', 'Mezcal': 'Din Amado, Reposado, Minero', 'Vodka, Gin, Rum and Tequila': '', 'Gin and Genevere': ""Tanqueray, England,Bols Genevere, Holland,Dorothy Parker, Brooklyn,Plymouth, England,Hendricks, Scotland,Bombay Saphire, England,Nolet's, Netherlands"", 'Non-Alcoholic, Coffee and Tea': '', 'Liqueurs': 'St Elizabeths All Spice Dram,Baileys,Benedectine,Chambord,Amaretto Disaronno,Drambuie,Frangelico,Grand Manier,Kahlua,Luxardo Marashino,Sambuca Romana,St Germain,Germain-Robin Abinthe Superieure, Napa Valley', 'Amari': 'Amaro Ciao Ciaro,Cynar,Fernet Branca,Branca Menta,Averna,Nonino', 'Beer': '', 'Other Whiskey': 'Jameson, Ireland,Canadian Club, Canada,Bushmills, Ireland,Crown Royal, Canada', 'Rum': 'Rhum JM, Agricole, Martinique,Don Q White Rum, Puerto Rico,Mount Gay, Barbados,Goslings, Bermuda,Ron Zacapa Centenario, 23 year old,Ron Zacapa Centenario XO, Guatemala,Flor de Caña, 18 year old, Nicaragua', 'Other Brandy': 'Cardenal Mendoza, Spain,Lairds Applejack', 'Madeira': 'Rare Wine Co. New York Malmsey,Rare Wine Co. Boston Bual,Rare Wine Co. Charleston Sercial,Rare Wine Co. Baltimore Rainwater', 'Tawny Port': 'Kopke Colheita 2000,Kopke Colheita 1999,Kopke Colheita 1987,Kopke Colheita 1985,Kopke Colheita 1980,Kopke Colheita 1963,Niepoort 10 year Tawny,Porto Burmester 10 year Tawny,Porto Burmester 20 year Tawny,Porto Burmester 30 year Tawny,Porto Burmester 40 year', 'Ruby Port': 'Niepoort Ruby Port', 'Specialty Cocktails': 'Rosa dos Ventos,El Viajante,Por do Sol Gengibre,Fumarento Anis,Escora de Espumante,Noite de Sonhos,Verao em Portugal,Cocktail de Sobremesa', 'Cognac and Armagnac': 'Cognac, Grande Champagne, Dudognon ""Vielle Reserve"" 20 year,Cognac, Grande Champagne, Jean-Luc Pasquet XO ""Rare"" 25yr,Armagnac, Chateau de Briat ""Hors d\'Age"",Armagnac, Chateau de Pellehaut, 1989', 'Blended Scotch': ""Johnny Walker Black,Dewars White Labe,Glenmorangie,Glenmorangie Sherry Cask,Pig's Nose"", 'Mocktails': 'Black Templo de Tamarindo,Gengiore Hortela Fizz,Gava Fizz', 'Sherry': 'Oloroso, Faraon,Manzanilla, Valdespino ""Deliciosa"" Sanlucar de Barrameda,Amontillado, Bodegas Hidalgo, Napoleon, NV,Palo Cortado, Bodegas Cesar Florido, ""Pena del Aquila"",Amontillado, Bodega Hidalgo, Napoleon, 30 years', 'Single Malt': 'Macallan, 12 years,Macallan, 18 years,Highland Park, 15 years,Lagavulin, 16 years,Oban, 14 years,Talisker, 10 Years', 'Scotch': '', 'Vodka': ""Tito's, Corn, Austin,TX,Ketle One, Wheat, Netherland,Bootlegger, Corn, Roscow, New York,Belvedere, Rye, Poland,Grey Goose, France"", 'Rye': ""Rittenhouse,Michter's Rye,Templeton"", 'Draught': ""Oskar Blues Mama's Little Yellow Pils, Longmont, CO, 5.3% ABV, 12oz"", 'Mocktail': 'Black Templo de Tamarindo,Geniore Hortela Fizz,Gava Fizz', 'Grappa': 'Nonino, Moscato,Nonino, Chardonnay', 'Brandy': ''}, 'Dinner Menu': {'Coffee and Tea': 'Serendipitea Tea,Brooklyn Roasting Co. Coffee, Lupulo Blend,Nespresso, Leggero Espresso, Macchiato,Cappuccino, Latte', 'Dessert Cocktail': 'Cocktail De Sombremesa', 'Pratos Principais / Entrees': 'Chanterelle Mushrooms,Ora King Salmon,Diver Sea Scallops,Suckling Pig Terrine,Arroz De Pato,House Salt Cod', 'Segundo Curso / Second Courses': 'Charred Octopus,Shrimp Alhinho,Cured and Grilled Spanish Mackerel,Wild Mushroom Broth', 'Dessert': 'Sonhos,Nora Chile Bavarois,Tio Anibal\'s Rice Pudding,Autumn Pear Tart,Hazelnut Chocolate Mousse,Ice Cream and Sorbets,Our Cheese Plate,Chocolate ""Salami"",Fried Apple Pie', 'Primeiro Curso / First Courses': 'Bacalhau À Brás,Seaweed Cured Foie Gras,Hokkaido Sea Urchin Toast,Mussel Soup'}}"	https://www.opentable.com/r/aldea-new-york?p=2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
Asian Jewels			https://www.opentable.com/s/?covers=2&metroId=8&term=Asian%20Jewels																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
Aska			https://www.opentable.com/s/?covers=2&metroId=8&term=Aska																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
Anella	"Lunch: Monday - Friday: 12:00pm - 4:00p || Dinner: Monday - Thursday 5:00pm-11:00pm ||Dinner Friday and Saturday: 6:00pm - 11:00pm, Sunday: 5:00pm - 11:00pm || Brunch: Saturday - Sunday: 11:00am - 4:00pm"	{}	https://www.opentable.com/anella?p=2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
