name,dish,Operation time
Ai Fiori,"{'Delivery Menu': {'Salads': 'Insalata,Insalata di Barbabietola,Niçoise', 'Pastas': 'Creste,Tortelli,Cavetalli,Cavatelli,Gluten Free Creste,Risotto', 'Desserts': ""Cioccolato,Ligurian Olive Oil Cake,Assorted Biscotti,Seasonal Fruit,Chef's Selection of Cheeses"", 'Surf and Turf (Serves 2)': 'Lobster Niçoise Salad,Choice of Entrée Pasta,Dry-Aged Strip Loin,Choice of Dessert', 'Lunch Special': 'Insalata,Choice of Entrée Pasta,Cookie Plate', 'Entrées': 'Ippogolosso,Capesante,White Label Burger,Pollo Arrosto,Tagliata', 'Beverages': 'Soft Drinks', 'Dinner Special': 'Choice of Salad,Choice of Entrée Pasta,Choice of Dessert', 'Specials': '', 'Appetizers': 'Mixed Marinated Olives,Candied Nuts,Zuppa di Zucca,Vellutata,Torchon,Prosciutto,Polipo', 'Sides': 'Crispy Potatoes,Arancini (Fried Risotto Balls),Pommes Dauphines (Potato Fritters),Cavolo Lacinato,Broccoli Rabe,Barbabietola,Roasted Hen of the Woods Mushrooms'}, 'Express Lunch': {'Appetizer': 'Green Salad,Zuppa di Zucca,Country Paté', 'Entrée': 'Nicoise Salad,Spaccatelle,White Label'}, 'Lunch Menu': {'Featured Item': 'White Label Burger', 'Insalate': 'Insalata,Insalata di Barbabietola,Insalata di Astice,Insalata di Branzino', 'Antipasti': 'Zuppa di Zucca,Vellutata,Crudo di Passera,Torchon', 'Contorni': 'Patate Schiacciate,Carote,Cavolo Lactinato,Funghi', 'Caviar': 'Imperial Gold Ossetra,Anna Dutch Gold', 'Pasta e Risotto': 'Trofie Nero,Spaghetti,Tortelli,Agnolotti,Risotto', 'Alba White Truffles': 'Tagliatelle,Risotto', 'Pesce e Carne': 'Capesante,Bouillabaisse,Ippogolosso,Abbacchio,Pollo Arrosto,Tagliata'}, ""New Year's Eve"": {'Secondi': 'Astice,Ippoglosso,Tagliata,Abbacchio', 'Docli': 'Cioccolato,Semifreddo,Panna Cotta,Meringa', 'Antipasti': 'Insalata di Astice,Zuppa di Zucca,Polipo,Crudo di Passera', 'Primi': 'Trofie Nero,Tortelli,Agnolotti,Risotto,Tagliatelle', ""New Year's Eve Tasting Menu $250"": 'Selection of Canapés,Insalata di Astice,Beef Tartare,Tagliatelle,Ippoglosso,Vitello,Intermezzo,Cioccolato', 'Caviar': 'Imperial Gold Ossetra,Anna Dutch Gold'}, 'Restaurant Week Lunch 2018': {'Fish & Meat': 'Capesante,Bouillabaisse,Pollo Arrosto', 'Appertizers & Salads': 'Barbabietola,Crudo di Passera,Vellutata,Insalata di Astice', 'Entrée': 'Tagliatelle,Salmone,Tagliata,Risotto', 'Dessert': 'Cioccolato,Budino al Limone', 'Pasta': 'Trofie Nero,Tortelli,Agnolotti,Risotto', 'White Label Burger': '', 'Lunch': '', 'Appetizers & Salads': 'Insalata,Zuppa di Zuppa,Fegatini di Pollo'}, 'Breakfast Menu': {'Beverages': 'Green Juice,Orange or Grapefruit Juice,Mimosa or Bellini,Haiti - Blue Forest French Press pot,La Colombe Coffee,Cappuccino,Espresso,In Pursuit of Tea', 'Side Dishes': ""Nueske's Applewood Smoked Bacon,Parmacotto Ham,Chicken or Pork Sausage,House Potatoes,Cereals,Mixed Berries,Half of Grapefruit,Side of Two Eggs Any Style,Toast,Ai Fiori Pastry"", 'A La Carte': 'Americana,Omelette,Salmone Affumicato,Benedict,Uova e Grano,Frittata,Uova in Purgatorio,Eggs and Caviar,Eggs and Truffles,Macedonia,Prosciutto e Melone,Pasticcini,Muesli e Yogurt,Buttermilk Pancakes,Avena', 'Express Breakfast': 'Continentale,Salute'}, 'Dinner Menu': {'Verdure': 'Torta di Ceci,Uovo', 'OSTRICHE': 'Market Oysters $21 for 6/$35 for 12', 'Contorni': 'Cavolo Lacinato,Funghi,Barbabietola,Patate Schiacciate,Carote,Pommes Dauphine', 'Formaggio': ""Bucheron,Alp Blossom,Pecorino Foglie di Noce,Murray's Clothbound Cheddar,Greensward,Bay Blue"", 'Carne': 'Anatra,Abbacchio,Tagliata,Vitello*', 'Per Due': 'Sogliola,Agnello', 'Antipasti': 'Insalata,Zuppa di Zucca,Crudo di Passera,Gambero Blu,Insalata di Astice,Torchon,Vellutata,Canestrelli,Polipo,Baccala', 'Dolci': 'Semifreddo,Torta di Pecorino Romano,Meringa,Affogato,Cioccolato,Tiramisu', 'Caviar': 'Imperial Gold Ossetra,Anna Dutch Gold', 'Pesce': 'Capesante,Branzino,Ippoglosso,Astice', 'Alba White Truffles': 'Tagliatelle,Risotto,Krug e Tartufi', 'Pasta E Risotto': 'Trofie Nero,Spaghetti,Cavatelli,Tortelli,Agnolotti,Risotto', 'Sorbetti E Gelati': 'Gelati,Sorbetti'}, 'Bar Menu': {'Large Plates': 'Formaggi,Charcuterie,Creste,Tortelli,Lobster Roll,White Label Burger', 'Small Plates': 'Burrata,Prosciutto,Tartare di Carne,Vongole,Crudo Duo,Caviar', 'Snacks': 'Spuntini,Oysters,Arancini,Artichokes,Pommes Dauphines', 'Sweets': 'Mini Pasticcini,Cookie Plate,Gelati And Sorbetti'}, 'Happy Hour': {'Vermouth Flight': '', 'Cocktails': 'FIORE BIANCO', 'Wine': 'Prosecco Brut, Sommariva, Veneto NV,Erbaluce di Caluso ""La Torrazza"", Ferrando, Piedmont 2014,Rosato, Castello di Ama, Tuscany 2016,Chianti Classico, Vecchie Terre di Montefili, Tuscany 2013', 'Beer': 'Moretti Lager,Captain Lawrence ""Liquid Gold"",Victory ""Prima"" Pilsner'}}","Breakfast: Monday - Sunday: 7:00am - 10:15am    Lunch: Monday - Friday: 12pm - 2:15pm     Dinner: Monday - Thursday: 5:30pm - 10:00pm, Friday - Saturday: 5:00pm - 10:00pm, Sunday - 5:30pm - 9:00pm    Bar and Lounge are first come/first served"
Aldea,"{'Wine List': {'USA/ITALY': 'Walter Hansel ""Cahill Lane"", Pinot Noir, Russian River Valley, California, 2013,Hendry, ""Hendry Vineyard"", Cabernet Sauvignon, Napa Valley, California 2013,O\'Shaughnessy, Cabernet Sauvignon, Howell Mountain, Napa Valley, 2014,Amarone della Valpolicella Classico, Bussola, Veneto 2010,Barbaresco, Castello di Verduno ""Rabaja"" Riserva, Piedmont 2010,Felsina ""Fontalloro"" IGT Tuscany 2011,Brunello di Montalcino, Pian dell\'Orino, Tuscany 2009,Barolo, Roagna, Pira ""Vecchie Viti"" Piedmont 2008', 'France': 'Trousseau, Pierre Richard, Cotes de Jura, 2014,Santenay 1er Cru, Roger Belland ""Beauregard"" Burgundy, 2013,Paulliac, Chateau La Fleur, ""Haut Carras"", Bordeaux, 2011,Chateauneuf-du-Pape, Chateau Maucoil ""Privilege"" Rhone Valley 2010,Saint-Emilion Grand Cru, Virgine de Valandraud, Bordeaux 2010,Pommard, Domaine Jean-Michel Gaunoux ""Les Perrieres"" Burgundy, 2008', 'Portugal': 'Filipa Pato, Post Quercus Baga, Beiras ***500ML Bairrada, 2015,Quinta do Popa ""Popa TN"", Touriga Nacional, Douro Valley, 2012,Foz de Arouce, Baga, Beiras 2012,Monte dos Cabacos ""Colheita Seleccionada"", Touriga Nacional-Alicante Bouschet-Aragonez, Alentejo, 2010,Monte da Casteleja, Classico Tinto, Bastardo, Alfrocheiro, Algrave 2013,Quinta do Perdigado, Alfrocheiro, Dao, 2010,Caves Sao Joao, ""Porta dos Cavaleiros"", Alfrocheiro-Jaen-Tinta Roriz-Baga-Preto de Mortagua, Dao, 1985,Quinta de Lemos, Jaen, Dão 2009,Filipa Pata, Beiras Tinto ""Nossa"" 2015,Chocapalha ""Vinha Mae"" Touriga Nacional-Tinta Roriz-Syrah, Lisboa, 2012,Niepoort, ""Redoma"" Tinta Roriz, Touriga Franca, 2013 Douro,Sidonio de Souza ""Figueira da Costa"" Garrafeira, Baga, Old Vines, Bairrada, 2009,Luis Pato, Quinta do Moinho, Baga, Beiras, Bairrada 2001,Julia Kemper ""Curiosity"", Touriga Nacional-Alfro cheiro, Dao, 2012,Joao Portugal Ramos ""Marques de Borba"", Aragonez-Trincadeira-Alicante Bouschet-Cabernet Sauvignon, Alentejo, 2012,Viuva Gomes, Ramisco, Collares, 1999,Prats & Symington, Chryseia, Touriga Nacional- Touriga Franca, Douro 2013,Herdade do Mouchao, ""Tonel N 3-4"", Alicante Bouschet, DOC Alentejo 2011', 'White Wine': '', ""Rose' Wine"": 'Casa de Mouraz, Tinta Roriz, Alfrocheiro, Jaen, Agua Santa, Dao, Portugal, 2016,Quinta do Perdigão, Touriga Nacional-Jaen, Alfrocheiro-Tinta Roriz, Dão Portugal 2014', 'Sparkling Wine': 'Sidónio de Sousa, Branco Brut Nature, ""Special Cuvée,"",Red, Aphros, Sparkling Grande Reserve Brut \'Yakkos\', Vinhao, Vinho Verde 2006,Red, Aphros \'Super-Reserva Brut\', Vinhao, Vinho Verde NV', 'United States': 'Liquid Farms ""White Hill"", Chardonnay, Sta Rita Hills, California, 2015', 'Spain': 'Venus la Universal ""Dido"", Garnacha-Syrah-Cabernet Sauvignon, Montsant, 2015,Pittacum, Mencia, Bierzo, 2011,Bodegas Ponce ""Pino"", Bobal, Manchuela,Priorat, Rene Barbier I Sara Perez ""Partida Pedrer"", Catalunya,Bodega Barranco Oscuro, Vino de Espana, ""El Canto de Mirlo"", Merlot, Andalucia 2012,Artadi ""Pasos de San Martin"" Garnacha, Navarra, 2013,Rioja Reserva, Remelluri 2010,Algueira, Merenzao, Ribeira Sacra, 2014,Bodegas y Vinedos El Seque, Monastrell, Valencia, Alicante, 2010,Rioja Reserva, Lopez de Heredia ""Viña Tondonia"" 2004,Malabrigo, Ribera del Duero, 2010,Pintia, Toro, 2011,Vega Sicilia ""Alion"", Ribera del Duero 2013,Vega Sicilia, ""Valbuena"", Ribera del Duero 2013', 'Champagne': 'Moutard ""Grande Cuvee"" Brut, NV La Cote des Bar,Rose, Moutard ""Rose de Cuvaison"" Brut, La Cote des Bar, Aube,Gatinois ""Tradition, Grand Cru Brut. Ay, Valle de la Marne,Rose, R.H. Coutier, Grand Cru, ""Cuvee Rose"", Ambonnay,Pierre Moncuit, ""GC"", Blanc de Blancs, Mesnil-Sur-Oger, Cote de Blancs,Agrapart & Fils, a Avize-Grand Cru ""Terroirs"" Extra Brut, Cote des Blancs,Cedric Bouchard, Val Vilaine ""Roses de Jeanne"" Blanc de Noir, Aube,Tarlant, ""La Vigne d\'Or, Brut Nature, Vallée de La Marne 2003'}, 'Dessert Menu': {'Dessert': ""Sonhos,Nora Chile Bavarois,Tio Anibal's Rice Pudding,Autumn Pear Tart,Hazelnut Chocolate Mousse,Ice Creams and Sorbets,Our Cheese Plate"", 'Coffee and Tea': 'Serendipitea Tea,Brookling Roasting Co. ""Lupulo Blend"",Nespresso, Leggero Espresso, Macchiato,Cappuccino, Latte', 'Dessert Cocktail': 'Cocktail De Sombremesa'}, 'Cocktails': {'Madeira': 'Rare Wine Co. New York Malmsey,Rare Wine Co. Boston Bual,Rare Wine Co. Charleston Sercial,Rare Wine Co. Baltimore Rainwater', 'Draught': ""Oskar Blues Mama's Little Yellow Pils, Longmont, CO, 5.3% ABV, 12oz"", 'Amari, Grappa & Liqueurs': '', 'Pisco': 'Barsol, Peru', 'Cognac and Armagnac': 'Cognac, Grande Champagne, Dudognon ""Vielle Reserve"" 20 year,Cognac, Grande Champagne, Jean-Luc Pasquet XO ""Rare"" 25yr,Armagnac, Chateau de Briat ""Hors d\'Age"",Armagnac, Chateau de Pellehaut, 1989', 'Single Malt': 'Macallan, 12 years,Macallan, 18 years,Highland Park, 15 years,Lagavulin, 16 years,Oban, 14 years,Talisker, 10 Years', 'Vodka': ""Tito's, Corn, Austin,TX,Ketle One, Wheat, Netherland,Bootlegger, Corn, Roscow, New York,Belvedere, Rye, Poland,Grey Goose, France"", 'Amari': 'Amaro Ciao Ciaro,Cynar,Fernet Branca,Branca Menta,Averna,Nonino', 'Grappa': 'Nonino, Moscato,Nonino, Chardonnay', 'Mocktails': 'Black Templo de Tamarindo,Gengiore Hortela Fizz,Gava Fizz', 'Sherry': 'Oloroso, Faraon,Manzanilla, Valdespino ""Deliciosa"" Sanlucar de Barrameda,Amontillado, Bodegas Hidalgo, Napoleon, NV,Palo Cortado, Bodegas Cesar Florido, ""Pena del Aquila"",Amontillado, Bodega Hidalgo, Napoleon, 30 years', 'Scotch': '', 'Specialty Cocktails': 'Rosa dos Ventos,El Viajante,Por do Sol Gengibre,Fumarento Anis,Escora de Espumante,Noite de Sonhos,Verao em Portugal,Cocktail de Sobremesa', 'Non-Alcoholic, Coffee and Tea': '', 'Rum': 'Rhum JM, Agricole, Martinique,Don Q White Rum, Puerto Rico,Mount Gay, Barbados,Goslings, Bermuda,Ron Zacapa Centenario, 23 year old,Ron Zacapa Centenario XO, Guatemala,Flor de Caña, 18 year old, Nicaragua', 'Ruby Port': 'Niepoort Ruby Port', 'Juice and Soda': 'Cranberry, Pineapple, Grapefruit,House-made Lemonade,Arnold Palmer,Coke & Diet Coke,Sprite,Q Ginger Beer,Q Tonic,Q Ginger Ale', 'Mezcal': 'Din Amado, Reposado, Minero', 'Tawny Port': 'Kopke Colheita 2000,Kopke Colheita 1999,Kopke Colheita 1987,Kopke Colheita 1985,Kopke Colheita 1980,Kopke Colheita 1963,Niepoort 10 year Tawny,Porto Burmester 10 year Tawny,Porto Burmester 20 year Tawny,Porto Burmester 30 year Tawny,Porto Burmester 40 year', 'White Port': 'Kopke ""Lagrima"" White Port', 'Whiskey': '', 'Other Brandy': 'Cardenal Mendoza, Spain,Lairds Applejack', 'American': ""Bulleit Bourbon,Woodford Reserve,Knob Creek,Makers Mark,Michter's Bourbon"", 'Beer': '', 'Calvados': 'Calvados Domfrontais, Lemorton ""Selection"",Adrien Camut, 6 years old, Calvados du Pays d\'Auge', 'Coffee and Tea': 'Serendipitea Tea,Iced Tea,Brooklyn Roasting Co. ""Lupulo Blend"",Nespresso, Leggero Espresso,Macchiato,Cappuccino,Latte', 'Rye': ""Rittenhouse,Michter's Rye,Templeton"", 'Blended Scotch': ""Johnny Walker Black,Dewars White Labe,Glenmorangie,Glenmorangie Sherry Cask,Pig's Nose"", 'Gin and Genevere': ""Tanqueray, England,Bols Genevere, Holland,Dorothy Parker, Brooklyn,Plymouth, England,Hendricks, Scotland,Bombay Saphire, England,Nolet's, Netherlands"", 'Bottled Beer': 'Superbock, Portugal, 5.2% ABV 12oz,Greenport Harbor ""Other Side"" American IPA, Peconic, NY, 7.5% Abv, 12oz,Avery Brewing ""Ellie\'s Brown Ale"", Boulder Colorado, 5.5% Abv, 12oz,Ommegang Brewery, Abbey Ale Dubbel, Cooperstown NY, 8.2% Abv, 12oz', 'Mocktail': 'Black Templo de Tamarindo,Geniore Hortela Fizz,Gava Fizz', 'Liqueurs': 'St Elizabeths All Spice Dram,Baileys,Benedectine,Chambord,Amaretto Disaronno,Drambuie,Frangelico,Grand Manier,Kahlua,Luxardo Marashino,Sambuca Romana,St Germain,Germain-Robin Abinthe Superieure, Napa Valley', 'Other Whiskey': 'Jameson, Ireland,Canadian Club, Canada,Bushmills, Ireland,Crown Royal, Canada', 'Brandy': '', 'Tequila': 'Partida, Blanco,Herradura, Reposado,Don Julio, Blanco,Don Julio, Reposado,Don Julio, Anejo,Casa Amigos, Blanco,Casa Amigos, Reposado,Casa Amigos, Anejo,Casa Dragones, Joven', 'Cachaça': 'Avua Prata, Rio de Janeiro,Avua Amburana, Rio de Janeiro', 'Vodka, Gin, Rum and Tequila': ''}, 'Dinner Menu': {'Pratos Principais / Entrees': 'Chanterelle Mushrooms,Ora King Salmon,Diver Sea Scallops,Suckling Pig Terrine,Arroz De Pato,House Salt Cod', 'Dessert Cocktail': 'Cocktail De Sombremesa', 'Dessert': 'Sonhos,Nora Chile Bavarois,Tio Anibal\'s Rice Pudding,Autumn Pear Tart,Hazelnut Chocolate Mousse,Ice Cream and Sorbets,Our Cheese Plate,Chocolate ""Salami"",Fried Apple Pie', 'Primeiro Curso / First Courses': 'Bacalhau À Brás,Seaweed Cured Foie Gras,Hokkaido Sea Urchin Toast,Mussel Soup', 'Segundo Curso / Second Courses': 'Charred Octopus,Shrimp Alhinho,Cured and Grilled Spanish Mackerel,Wild Mushroom Broth', 'Coffee and Tea': 'Serendipitea Tea,Brooklyn Roasting Co. Coffee, Lupulo Blend,Nespresso, Leggero Espresso, Macchiato,Cappuccino, Latte'}, 'Tasting Menu': {""Chef's Tasting Menu"": 'Petiscos,Oyster and Green Apple Tartare,Mackerel En Escabeche,Shrimp Alhinho,Braised Salmon,Duck Breast,Sao George Cheese,Hazelnut Chocolate Mousse'}, 'Bar Menu': {}, 'Wines by the Glass': {'Coravin Reserve Red Wines': ""Clos Cibonne, Tibouren, Rose, Provence 2014,Ardevol, Coma d'en Romeu, Cabernet Sauvignon, Merlot, Syrah, Garnacha, Carinena, Catalonia 2009"", ""Rose'"": 'Folias de Baco ""Uivo"", Pinot Noir, Duriense IGP', 'Sparkling': 'Vilarnau, Cava, Brut Reserva,Sidónio de Sousa, Branco Brut Nature, ""Special Cuvée', 'White': 'Txakolina, Gorrondona, Hondarribi Zuri-Hondarribi Beltza 2015,Pares Balta ""Cosmic"" Xarel-Lo-Sauvignon Blanc 2015,Lasso Branco, Ferñao Pires and Arinto, 2014,Niepoort ""Dócil"", Loureiro, Vinho Verde 2016,Esporão, Antão Vaz, Arinto, Roupeiro, Alentejo 2015', 'Red': 'Niepoort, ""Vertente"", Touriga National, Jaen 2014,Quinta de Lemos, Jaen, 2009,Lavradore de Feitoria, Tinta Roriz-Touriga Franca- Touriga Nacional, Tinta Barroca, 2014,Morgon, Dominique Piron ""Côte de Py"" Gamay, Cru de Beaujolais,Roija Crianza, Abando'}}",DINNER:     Tuesday-Thursday 5:30-10:00pm    Friday-Saturday 5:30-11:00pm    BAR:    Tuesday-Saturday 5:00pm-Closes two hours after our last seating.
Amaranto,,
Arharn Thai,,
Angkor,,
Aska,,
Asian Jewels,,
Atla,,
Anella,{},"Lunch: Monday - Friday: 12:00pm - 4:00p      Dinner: Monday - Thursday 5:00pm-11:00pm     Dinner Friday and Saturday: 6:00pm - 11:00pm, Sunday: 5:00pm - 11:00pm      Brunch: Saturday - Sunday: 11:00am - 4:00pm"
Alta Calidad,"{'Drink Menu': {'Bubbles': 'Bohigas Brut Cava Reserva,Pere Mata Cupada Rosé Cava,Marcel Moineaux Blanc de Blanc Grand Cru', 'Beverages': 'Mexican Coca-Cola,Mexican Sprite,Fever-Tree Ginger Beer,Daily Hand Pressed Juice and Hand Picked Iced Tea,Daily Limeade', 'Beer': 'Tecate- Can (Mexico),Pacifico (Mexico),Negra Modelo,Tecate Sucia - Can (Mexico),Brooklyn Lager (Brooklyn, NY),Lagunitas IPA (Petaluma, CA),Rekordling Pear Cider (Sweden),Corona Familiar- 32oz (Mexico)', 'Red': 'Suhu Luchtel, Sonoma, CA, Pinot Noir 2013,Camino de Navaherreros, Spain, Grenache 2016,Senorio de Pecina, Rioia, Spain, Tempranillo 2016,Algueira, Galicia, Spain, Mencia 2015', 'Cocktails': 'El Jardin,Coyote Wishes,Aqua Fresca,Margarita Calidad,El Carbon,C&C Collins,Nashi Whiskey Smash', 'Rosé': 'Bodini, Mendoza, Argentina, Melbec 2016', 'Wine': '', 'White': 'Mayu, Elqui Valley, Chile, Pedro Ximenez 2016,Bodegas La Val, Rias Baixas, Spain, Albariño 2015,Docil, Minho, Portugal, Loureiro 2016,Señorio de Peciña, Rioja, Spain, Viura 2010'}, 'Brunch': {'Sides': 'House-Made Chorizo,Poached Egg,Papas Bravas with Chipotle Mayo,Sliced Avocado', 'Sandwiches': 'Steak & Egg Sandwich,Hamburguesa,Chicken Fried Steak Torta', 'Chips': 'Tortilla Tostadas', 'Platos': 'Acai Bowl,Chilaquiles & Fideos,Huevos Benedict,Breakfast Quesadilla,Pancakes with Requeson,Enchiladas,Huevos Divorciados,Mexican Roti', 'Tacos': 'Steak & Egg Breakfast Taco,Crispy Tempura Shrimp,Roasted Cobia'}, 'Dinner': {'Greens': 'Crispy Brussels Sprouts,Fall Squash,Roasted Romanesco Cauliflower', 'Chips Etc': 'Tortilla Tostadas,Queso Fundido ""Simple"",Queso Fundido ""Complicado""', 'Tacos': 'Roasted Skate Wing,Charred Steak,Chicken Albondigas,Crispy Tempura Shrimp', 'Platos': 'Brook Trout,Beef Back Ribs', 'Botanas': 'Octopus,Sea Scallops,Hiramasa Ceviche,Mexican Coca-Cola Lamb Ribs,Pumpkin Blossom Quesadilla,Chicken Fried Steak Torta'}, 'Lunch': {'Beverage': 'Daily Brewed Tea Forte Iced Tea,Cold Brew Brooklyn Roasting Company Iced Coffee,Brooklyn Roasting Company, Sumatra Blend, French Pressed Coffee,Mexican Coca-Cola,Mexican Sprite,Jarritos Grapefruit Soda', 'Greens': 'Chopped Salad,Crispy Brussels Sprouts', 'Chips Etc': 'Tortilla Tostado,Queso Fundido ""Simple"",Queso Fundido ""Complicado""', 'Tacos': 'Roasted Skate Wing,Charred Steak,Chicken Tinga,Crispy Tempura Shrimp', 'Platos': 'Steak Sandwich,Pumpkin Blossom Quesadilla,Chilazuiles & Fideos,Hamburguesa,Chicken Fried Steak Torta'}}","Lunch    Daily 11:00 am–3:00 pm    Dinner    Mon–Thu 5:00 pm–11:00 pm    Fri, Sat 5:00 pm–12:00 am    Sun 5:00 pm–10:30 pm"
Atoboy,,
Atrium,,
Atera,{},Atera offers reservations for dinner Tuesday-Saturday at 6:00pm and also at 9:30pm. The experience is approximately three hours.  
Aurora,,
